entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication

Đau âm hộ mãn tính,disease,"['101', '120']",,ngứa; đau; nóng rát; cảm giác châm chích; đau nhức; cảm giác khó chịu; đau nhói; sưng tấy; cơn đau và cảm giác khó chịu xảy ra ở toàn bộ vùng âm hộ.,phẫu thuật cắt tiền đình có thể làm giảm đau và tăng sự hài lòng trong tình dục; thuốc gây tê tại chỗ có thể giúp giảm tạm thời cơn đau và các triệu chứng khác; steroids; các loại thuốc chống trầm cảm và thuốc chống co giật; phẫu thuật cắt tiền đình có thể làm giảm đau và tăng sự hài lòng trong tình dục,nhiễm khuẩn; các yếu tố di truyền; sự co thắt của các cơ đáy chậu; dị ứng; các dây thần kinh chi phối vùng ở âm hộ bị tổn thương hay bị kích thích; tiền sử bị lạm dụng tình dục; lạm dụng các thuốc bôi tại chỗ; nấm,,đau âm hộ mãn tính là tình trạng đau và khó chịu kéo dài vùng âm hộ. những cơn đau thường kéo dài và tái phát nhiều lần.; cơn đau ở âm hộ có thể là triệu chứng của nhiều tình trạng bệnh lý khác nhau và với mỗi chẩn đoán sẽ có các điều trị khác nhau.; đau khi chạm hoặc không. có 2 loại đau âm hộ mãn tính toàn bộ (trên diện rộng) và đau âm hộ mãn tính khu trú (như tiền đình).,Đau âm hộ mãn tính toàn bộ; Đau âm hộ mãn tính khu trú,những cảm xúc hay áp lực còn đóng vai trò nhất định trong cách cảm nhận cũng như chống chọi với cơn đau; một số thuốc có thể gây các tác dụng không mong muốn và có thể làm cơn đau âm hộ trở nên nặng nề hơn; cơn đau và cảm giác khó chịu xảy ra ở toàn bộ vùng âm hộ.,,hãy nói rõ với bác sĩ các thuốc đã sử dụng; tư vấn về tình dục sẽ hỗ trợ cho người phụ nữ và người bạn tình.; phẫu thuật không khuyến cáo cho những trường hợp đau âm hộ mãn tính toàn bộ,thiếu tự tin; lo âu; trầm cảm
Sàng lọc kết hợp,topic,['47'],,,,,,,,nhược điểm: kết quả có muộn,,,
Viêm màng ối,disease,['30'],,mệt mỏi; nôn; sốt; mẹ sốt (>38°c); nhịp tim thai nhanh (>160 nhịp/phút); bạch cầu máu mẹ tăng (>15.000/µl); dịch mủ từ cổ tử cung; nhịp tim nhanh ở mẹ; tử cung ấn đau; im lặng; gây sinh non; ối vỡ non (pprom); tim thai nhanh; bạch cầu máu mẹ tăng; tụt huyết áp; vã mồ hôi; bất thường vận động; bú kém; khó thở; suy hô hấp; tím tái; nhịp tim nhanh; hạ huyết áp; chướng bụng; co giật; xanh xao; chấm xuất huyết,lựa chọn thay thế: ampicillin-sulbactam; lựa chọn thay thế: cefoxitin; lựa chọn thay thế: piperacillin-tazobactam; khởi phát chuyển dạ sớm; chăm sóc hỗ trợ; dùng kháng sinh; ampicillin + gentamicin; clindamycin/metronidazole (viêm nội mạc tử cung); vancomycin (dị ứng penicillin); giữ ấm; theo dõi dấu hiệu sinh tồn; hồi sức toàn diện; thông khí áp lực dương; surfactant; cân bằng glucose; điều trị rối loạn đông máu; mổ lấy thai khi cần,,,là một biến chứng trong thai kỳ do nhiễm khuẩn hoặc phản ứng viêm của màng ối và màng đệm,,hội thảo nichd đề xuất thuật ngữ 'triple i'.; thể mô học có thể không có triệu chứng; pcr vi sinh; fibronectin thai; proteomic,,,nguy cơ nhiễm trùng sơ sinh tăng; áp xe não; nhiễm trùng ổ bụng; áp xe dưới da; nhiễm trùng xương khớp
Mổ lấy thai,topic,['74'],,,,,,mổ lấy thai là 1 phẫu thuật ngoại khoa phức tạp,,một phẫu thuật mổ lấy thai theo ý muốn có thể gây ra thêm nhiều nguy cơ,,,nhiễm trùng; vỡ tử cung; những vấn đề này chỉ xảy ra với một số ít phụ nữ và thường có thể được xử lí dễ dàng; xuất huyết; những nguy cơ liên quan đến sử dụng thuốc vô cảm; cần cắt bỏ tử cung sau khi mổ
Túi khí,topic,['82'],,,,,,,,,,không nên tắt túi khí; túi khí không thay thế được đai an toàn,
Ngày sinh dự kiến,topic,['73'],,,,,,ngày sinh dự kiến là chỉ dẫn để kiểm tra sự tiến triển của thai kỳ cũng như sự tăng trưởng và tuổi của thai nhi,,,,,
Đếm cử động thai,topic,['46'],,,,,,,,thai nhi cử động trong tử cung là dấu hiệu cho thấy em bé khoẻ mạnh; bà mẹ có thể cảm thấy em bé cử động vào khoảng giữa thai kỳ và nên cảm nhận cử động của bé cho đến khi sinh,,đếm cử động thai chỉ thực hiện khi bà mẹ lo lắng về tình trạng sức khoẻ của bé; nằm nghiêng trái; đếm tất cả các cử động mà bạn cảm nhận trong 1 giờ; dùng để theo dõi khi cảm thấy thai cử động ít,
Nhiễm trùng ở trẻ sinh non,disease,['236'],,viêm phổi; nhiễm trùng phổi; nhiễm độc; nhiễm trùng huyết; viêm màng não; nhiễm trùng dịch não tủy,,hệ thống miễn dịch của trẻ chưa hoàn thiện,,,,,,,
Khuyết tật thành bụng,topic,['47'],,ruột có thể thoát ra ngoài (thoát vị thành bụng); thoát vị rốn,,cơ và da không bao phủ kín thành bụng; mô quanh rốn lỏng lẻo,,,,,,,
Tăng sinh nội mạc tử cung đơn thuần,subdisease,['96'],,,,,,,,ít phức tạp,,,
Rối loạn tâm thần tiền kinh nguyệt,disease,['109'],,,thuốc chống trầm cảm,,,,,,,,
Bệnh khí hư,disease,['2'],,ra nhiều khí hư; khí hư màu vàng nâu khi sấy khô; cần sử dụng thêm băng vệ sinh; không gây mùi hôi; không gây kích ứng; không gây ngứa,,thời kỳ dậy thì; rụng trứng; xung quanh ngày của chu kỳ kinh nguyệt; thời kỳ mang thai; hung phấn tình dục; sa tử cung; tử cung ngả sau; viêm vùng chậu mãn tính; sử dụng thuốc tránh thai,,bệnh khí hư được định nghĩa là dịch tiết âm đạo quá mức,,,,duy trì vệ sinh cá nhân,
Trắc đồ sinh vật lý,topic,['46'],đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai,nhịp tim; thở; cử động; trương lực; nước ối; 8-10 điểm; 6 điểm; ≤4 điểm; không phản ứng; nước ối ít,,thai nhi không được nhận đủ oxy; dịch ối ít; có vấn đề về máu lưu thông trong nhau thai,Trắc đồ sinh vật lý cải tiến,,,đầu dò này tạo ra một sóng âm mà sẽ dội lại khi gặp các tạng trong cơ thể bạn; kết quả đạt 8 - 10 điểm là yên tâm; nếu kết quả đạt 6 điểm thì khả nghi (không đủ kết luận yên tâm cũng như kết luận bất thường); kết quả đánh giá lượng nước ối cho biết độ hoạt động tốt của nhau thai; ít phức tạp hơn nhưng vẫn hữu ích,,8-10 điểm → yên tâm; 6 điểm → khả nghi (làm lại sau 12-24h hoặc xem xét sinh sớm); ≤4 điểm → cần xét nghiệm sâu hơn hoặc sinh ngay; cần làm trắc đồ sinh vật lý cải tiến đầy đủ hoặc test co thắt đả kích để khẳng định,thai thiếu oxy; nhau thai suy giảm
