entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Béo phì,topic,['166'],,,,một người bị cho là quá cân nếu có chỉ số BMI từ 25 đến 29.9; một người bị cho là béo phì nếu có chỉ số BMI trên 30,,,,tính chỉ số khối cơ thể bằng cách chia trọng lượng cơ thể (tính bằng kg) cho bình phương của chiều cao (tính bằng mét),,tập thể dục đều đặn; kiểm tra cân nặng; khám tiền sản thường xuyên; giữ cơ thể khỏe mạnh; nên tăng cân theo BMI trước mang thai; không nên giảm cân trong thai kỳ; nên làm xét nghiệm đái tháo đường thai kỳ khi thừa cân hoặc béo phì; cho con bú giúp giảm cân nhanh hơn,tăng nguy cơ bệnh tim mạch; tăng nguy cơ đái tháo đường; tăng nguy cơ huyết áp cao; tăng nguy cơ một số bệnh ung thư; tăng nguy cơ vô sinh; sinh non: các bệnh kèm theo béo phì cũng có thể gây sinh non; thai chết lưu: chỉ số BMI của mẹ càng cao thì khả năng thai chết lưu càng cao; sinh thường vẫn có thể nhưng khó khăn hơn; béo phì làm tăng khả năng sinh mổ và các biến chứng liên quan
Tiết dịch núm vú,disease,['9'],,vú thường tiết dịch ở cả hai bên khi bóp vào vú hoặc núm vú; dịch tiết thường có màu trắng sữa; dịch tiết thường có màu xanh lá cây; dịch tiết ra có máu; dịch tiết ra màu trong suốt,,bệnh vú lành tính; thay đổi nội tiết tố; một số loại thuốc,,,,,,bạn nên đến gặp bác sĩ sản phụ khoa để kiểm tra,
Hoại tử mỡ tuyến vú,disease,['261'],,khối bất thường; cảm giác như những khối u nhỏ; khối u cứng; khối u tròn; khối u thường không đau; khối u nhạy cảm; khối u hơi đau; da xung quanh khối u dày lên; da xung quanh khối u đỏ; da xung quanh khối u bầm tím; da xung quanh khối u bị lõm xuống; hoạt tử mỡ có thể kéo tụt núm vú vào trong; khối u trong vú,chụp nhũ ảnh (chụp x quang vú); siêu âm (dùng sóng âm tạo nên hình ảnh); sinh thiết không cho ra đủ thông tin để chẩn đoán xác định hoại tử mỡ; khối hoại tử mỡ gây khó chịu hoặc đau; khối u hoặc khu vực khối u hoại tử không tự mất đi hoặc có xu hướng to lên; sinh thiết cắt bỏ khối u; loại bỏ vùng mô chết hoặc mô đã bị tổn thương; thực hiện dưới hình thức gây tê cục bộ hoặc gây mê toàn thân; sinh thiết vú có hỗ trợ thiết bị hút chân không để loại bỏ hoại tử mỡ; phương pháp phẫu thuật này không cần thủ thuật gây mê toàn thân,tổn thương hoặc chấn thương đến nhu mô tuyến vú; sinh thiết vú; nâng ngực bằng mỡ tự thân (mỡ được lấy ra từ một phần khác của cơ thể và được cấy vào tuyến vú) để cải thiện hình dạng vú sau phẫu thuật; di chứng hoặc tổn thương do tai nạn,,hoại tử mỡ tuyến vú là một bệnh lý lành tính (không phải ung thư) phát triển phổ biến sau một tổn thương hoặc chấn thương đến nhu mô tuyến vú,,hoại tử mỡ không làm tăng nguy cơ phát triển ung thư vú ở phụ nữ; hoại tử mỡ thường được phát hiện như một khối u trong vú; còn nếu có nghi ngờ về phim x-quang hoặc siêu âm thì bác sĩ có thể chỉ định thực hiện thêm sinh thiết để xác định; chụp x-quang ít được chỉ định ở phụ nữ dưới 40 tuổi (mô vú của phụ nữ trẻ dày đặc hơn làm cho hình ảnh x-quang khó quan sát); tuy nhiên đôi khi cũng có thể hỗ trợ chẩn đoán; hoại tử mỡ không gây harm đến sức khỏe nên thường không cần điều trị hay theo dõi; trong hầu hết các trường hợp cơ thể sẽ tự phân hủy khối hoại tử mỡ theo thời gian (có thể mất vài tháng),,nếu khối hoại tử mỡ phát triển lớn hơn hoặc bệnh nhân cảm thấy bất kỳ thay đổi bất thường nào ở tuyến vú thì nên gặp bác sĩ để được thăm khám và điều trị; bác sĩ sẽ khuyên bệnh nhân không nên phẫu thuật vì đôi khi có thể gây phát triển thêm hoại tử mỡ; nếu hoại tử mỡ làm cho bệnh nhân khó chịu nhưng bệnh nhân không mong muốn phẫu thuật để loại bỏ thì bác sĩ có thể gợi ý điều trị bằng thuốc giảm đau như paracetamol hoặc thuốc kháng viêm như ibuprofen; bệnh nhân nên hiểu về vú và tái khám nếu nhận thấy bất kỳ thay đổi bất thường nào ở vú bất kể thời gian nào sau khi được chẩn đoán hoại tử mỡ tuyến vú,mô bị thương tổn có thể hình thành một nang có chứa chất lỏng dạng dầu (nang dầu)
Thiếu máu ở trẻ sinh non,disease,['236'],,,,,,thiếu máu là khi trẻ không có đủ hồng cầu trưởng thành để vận chuyển oxy khắp cơ thể,,,,,
Rượu,topic,['58'],,,,,,,,,,không có mức độ an toàn khi uống rượu khi mang thai,hội chứng nghiện rượu bào thai (fas); rối loạn thai nhi do rượu (fasd); bất thường khuôn mặt; chậm tăng trưởng; rối loạn thần kinh trung ương; thiểu năng trí tuệ; kém tập trung
Xơ gan,subdisease,['76'],,,,,,,,,,,biến chứng nặng của viêm gan B mạn tính hoặc viêm gan C; suy giảm chức năng gan nghiêm trọng
Độ mờ da gáy,topic,['47'],,,,độ mờ tăng liên quan down; độ mờ tăng liên quan edwards; độ mờ tăng liên quan tim bẩm sinh,,,,,,,
Chuẩn bị trước khi mang thai,topic,['74'],,,,,,,,,,hãy gặp bác sỹ để được khám và tư vấn trước khi mang thai; chế độ ăn lành mạnh; dùng 0.4 miligrams acid folic mỗi ngày để giúp giảm nguy cơ sinh con mang dị tật ống thần kinh; tập thể dục đều đặn; giảm cân nếu bạn đang quá cân hay béo phì,
Ngừa thai phối hợp,subtopic,['20'],,,dùng thuốc ngừa thai phối hợp liều cao (progestin + ethinyl estradiol); uống 2 liều cách nhau 12h,,Viên uống tránh thai kết hợp; Thuốc tiêm tránh thai; Ngừa thai khẩn cấp ulipristal; Ngừa thai phối hợp,,,ít hiệu quả hơn progestin đơn; ít dùng,,ít dùng,nhiều tác dụng phụ
Tiểu không kiểm soát khi gắng sức,disease,['89'],,tiểu khó; rỉ nước tiểu khi ho; rỉ nước tiểu khi cười; rỉ nước tiểu khi nhảy mũi; rỉ nước tiểu khi đi; rỉ nước tiểu khi chạy; rỉ nước tiểu khi tập thể thao,tập cơ chậu (kegel); vật lý trị liệu; liệu pháp phản hồi sinh học; vòng nâng âm đạo (pessary); tiêm thuốc; đặt dây nâng niệu đạo; nâng cổ bàng quang; tiêm vật liệu tổng hợp quanh mô niệu đạo để nâng đỡ cổ bàng quang; thực hiện nhanh (≤20 phút); có thể cần nhiều mũi tiêm; nâng niệu đạo giữa – dùng lưới tổng hợp đặt dưới niệu đạo như võng nâng đỡ; nâng niệu đạo truyền thống – dùng dải mô lấy từ hạ vị/đùi khâu vào bụng; phẫu thuật nhanh (≤30 phút); hồi phục sớm; điều trị ngoại trú; phải đặt catheter,rối loạn đáy chậu; cơ vòng niệu đạo yếu đi do mang thai; cơ vòng niệu đạo yếu đi do sinh nở; cơ vòng niệu đạo yếu đi do lão hóa,,,,tiêm có thể làm ngay tại phòng mạch; giảm triệu chứng nhưng hiếm khi khỏi hoàn toàn,,có thể phải nới lỏng khâu,tiểu khó; tiểu gấp; có thể cần chỉnh lại dây nâng; rối loạn tiểu tiện sau mổ; trường hợp hiếm cần chỉnh hoặc tháo bỏ dây/khâu
