entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication

Song thai khác trứng,subtopic,['78'],,trẻ có thể cùng hoặc khác giới; mỗi trẻ có nhau thai và túi ối riêng,,,,,,mức độ giống nhau chỉ như anh chị em ruột,,,
Lời khuyên sức khỏe,topic,['2'],,,,,,,,,,giữ gìn vệ sinh cá nhân và môi trường xung quanh; uống nhiều nước; ăn uống theo chế độ ăn nhiều trái cây và rau quả; tập thể dục thường xuyên và thực hành các kỹ thuật làm giảm căng thẳng như yoga; thực hành tình dục an toàn; không bỏ qua bất kỳ triệu chứng bất thường nào liên quan đến các hệ cơ quan sinh sản,
Nhau bong non,topic,['28'],,đau bụng; đau lưng; chảy máu âm đạo,,,,,,,,,thiếu oxy cho thai; mất máu nhiều ở mẹ
Phương pháp tránh thai có rào cản,subtopic,['17'],Đóng vai trò là rào cản để ngăn tinh trùng của người đàn ông không gặp trứng của người phụ nữ; Bảo vệ cơ thể trước các bệnh lây truyền qua đường tình dục (STIs),,,,,,,các phương pháp này hoạt động tốt nhất khi được sử dụng đúng cách mỗi khi quan hệ tình dục.; thậm chí chỉ một lần quan hệ tình dục mà không sử dụng phương pháp rào cản có thể dẫn đến mang thai.,những phương pháp tránh thai khác (như là màng ngăn âm đạo và mũ chụp cổ tử cung) chỉ được mua theo đơn của bác sĩ,,
Ngừa thai,topic,['20'],,mệt mỏi; buồn nôn; đau bụng; nôn; chóng mặt; rối loạn kinh nguyệt; đau ngực; nhức đầu; chuột rút; rong huyết; kinh sớm; kinh trễ,thuốc (viên uống sáng hôm sau); dụng cụ tử cung chứa đồng (iud); thuốc chỉ chứa progestin (levonorgestrel); dùng thuốc ngừa thai phối hợp liều cao (progestin + ethinyl estradiol); uống 2 liều cách nhau 12h,,Ngừa thai khẩn cấp progestin; Ngừa thai khẩn cấp iud; Ngừa thai khẩn cấp ulipristal; Viên uống tránh thai kết hợp; Thuốc tiêm tránh thai; Ngừa thai khẩn cấp ulipristal; Ngừa thai phối hợp,ngừa thai khẩn cấp (hay còn gọi là ngừa thai sau giao hợp) là việc sử dụng một số phương pháp để ngăn ngừa mang thai ngoài ý muốn sau quan hệ tình dục không bảo vệ hoặc bảo vệ không đủ.,,who: hiệu quả 52–94%; hiệu quả 99%; có thể dùng lâu dài; ít hiệu quả hơn progestin đơn; ít dùng; hiệu quả trong vòng 120h; bạn có thể mang thai lại trong thời gian hậu sản này,thuốc viên; dụng cụ tử cung; các phương pháp rào cản (như bao cao su hoặc màng ngăn); miếng dán; que cấy; thuốc tiêm,ulipristal và yuzpe cần bác sĩ kê đơn; levonorgestrel có bán tại nhà thuốc; nên dùng biện pháp khác (bao cao su) cho đến kỳ kinh sau; không bắt buộc gặp bác sĩ sau khi dùng; nên gặp bác sĩ nếu trễ kinh để kiểm tra thai; có thể dùng nhiều lần trong cùng chu kỳ; không có tác dụng nếu đã mang thai; không gây harm cho thai nhi; cần đặt tại cơ sở y tế; ít dùng,nhiều tác dụng phụ
Hội chứng tiền kinh nguyệt,disease,['109'],,mệt mỏi; đau bụng; đau nhức; thèm ăn; đau đầu; giận dữ; dễ kích thích; dễ khóc; lo âu; lẫn lộn; xa lánh xã hội; thiếu tập trung; mất ngủ; ngủ nhiều; thay đổi ham muốn tình dục; căng tức ngực; phù nề; tăng cân; sưng tay chân; các vấn đề da; rối loạn tiêu hóa; triệu chứng xuất hiện trong 5 ngày trước kỳ kinh; lặp lại ≥3 chu kỳ liên tiếp; hết trong vòng 4 ngày sau khi có kinh; ảnh hưởng hoạt động bình thường,thay đổi lối sống; chế độ ăn; điều trị nội khoa tùy mức độ; thuốc tránh thai nội tiết; thuốc chống trầm cảm (ssris); thuốc chống lo âu; nsaids giảm đau; thuốc lợi tiểu giảm phù nề,dị ứng; trầm cảm; lo âu; động kinh; đau nửa đầu; hen suyễn,,,,,,tập aerobic giúp giảm triệu chứng; tập aerobic giúp giảm mệt mỏi; tập aerobic giúp giảm trầm cảm; thiền; yoga; massage; phản hồi sinh học; thôi miên; ngủ đủ giấc; thói quen sinh hoạt ổn định; ăn 6 bữa nhỏ/ngày để ổn định đường huyết; cần tham khảo ý kiến bác sĩ trước khi dùng; cần có hướng dẫn bác sĩ,
Cổ tử cung ngắn,disease,['234'],,,,,,,,,,cổ tử cung ngắn có thể phát hiện được qua siêu âm vì vậy sản phụ có thể đi kiểm tra siêu âm,cổ tử cung mở quá sớm thì được gọi là cổ tử cung không đủ chức năng (còn gọi là hở eo cổ tử cung)
U xơ tử cung,disease,"['8', '100', '1', '7']",,đau khi quan hệ; đau; chảy máu bất thường; vô sinh; ra máu mức độ nhiều trong kỳ kinh nguyệt; ra máu bất thường; đau bụng kinh; đau khi quan hệ tình dục; sẩy thai tái phát dưới dạng sẩy thai; sinh non; đau bụng dưới; đau vùng chậu; bụng to ra; những khối u to có thể làm biến dạng và tăng kích thước tử cung; bạn có thể có một khối u xơ đơn lẻ hoặc nhiều khối u xơ; chảy máu kinh nguyệt nhiều; kinh nguyệt kéo dài hơn một tuần; chèn ép hoặc đau vùng chậu; đi tiểu thường xuyên; tiểu khó; táo bón; đau lưng; đau chân; cơn đau cấp; hoại tử; đau vùng chậu dai dẳng; kinh nguyệt kéo dài; chảy máu ít; chảy máu giữa các kỳ kinh; thiếu máu; đau lưng dưới; sẩy thai; gây đau; mất máu nhiều; nghi ngờ khối u khác; phát triển nhanh,phẫu thuật; thuốc tránh thai hormone kiểm soát chảy máu; đồng vận gnrh giúp thu nhỏ u xơ (chỉ dùng ngắn hạn); dụng cụ tử cung chứa progestin giảm chảy máu và đau; phẫu thuật cắt bỏ tử cung; nội soi buồng tử cung cắt bỏ u xơ nhỏ; cắt bỏ nội mạc tử cung (u <3 cm); thuyên tắc động mạch tử cung (uae); siêu âm hội tụ dưới mri; thuốc tránh thai/hormone kiểm soát chảy máu,hút thuốc làm gia tăng những cơn đau trong kỳ kinh nguyệt; thay đổi di truyền; nhiều u xơ có chứa những thay đổi trong gen khác với những tế bào cơ tử cung bình thường; u xơ chứa nhiều thụ thể estrogen và progesterone hơn các tế bào cơ tử cung bình thường; các khối u xơ có xu hướng nhỏ lại sau khi mãn kinh do giảm sản xuất hormone; chất nền ngoại bào (ecm) tăng lên trong các khối u xơ và làm cho chúng bị xơ; ecm cũng lưu trữ các yếu tố tăng trưởng và gây ra những thay đổi sinh học trong chính tế bào; u xơ tử cung phát triển từ một tế bào gốc trong mô cơ trơn của tử cung (myometrium); một số khối u xơ đã qua giai đoạn tăng trưởng có thể sẽ nhỏ lại,,u xơ tử cung còn gọi là u cơ trơn,,lý do là vì chúng giảm lượng khí oxy đến vùng xương chậu; quyết định phẫu thuật có thể cân nhắc dựa trên tuổi của bệnh nhân và mức độ nghiêm trọng của tình trạng bệnh; nó không liên quan đến việc tăng nguy cơ ung thư tử cung và hầu như không bao giờ phát triển thành ung thư; do thường không gây ra triệu chứng nên nhiều phụ nữ bị u xơ không được phát hiện; bác sĩ có thể tình cờ phát hiện ra u xơ khi khám phụ khoa hoặc siêu âm trước khi sinh; u xơ trong cơ phát triển trong thành u xơ cơ; u xơ dưới niêm mạc phát triển lồi vào buồng tử cung; u xơ dưới thanh mạc lồi ra bên ngoài tử cung; u xơ thường không cản trở việc mang thai; u xơ mới có thể mọc lại sau mổ,phụ nữ tập thể dục thường xuyên có nguy cơ bị u xơ tử cung thấp nhất; tập thể dục cũng giúp giảm huyết áp; một số nghiên cứu cho thấy rằng việc sử dụng các biện pháp tránh thai nội tiết tố có thể làm giảm nguy cơ mắc u xơ tử cung,một số người vẫn có thể cải thiện những triệu chứng của họ bằng những cách đơn giản; bổ sung trái cây và rau củ tươi; quản lý mức độ căng thẳng của bạn; một số phụ nữ nhận thấy liệu pháp thay thế như châm cứu cũng giúp giảm cơn đau trong kỳ kinh nguyệt; khiến bản thân thoải mái; hoặc nằm nghiêng người và co đầu gối lên ngực để giảm áp lực lên lưng; hỏi ý kiến bác sĩ trước khi bổ sung bất kỳ chất gì; một số nghiên cứu đề xuất những chất bổ sung như vitamin d có thể có ích trong việc giảm nguy cơ mắc u xơ tử cung; điều trị vấn đề như hội chứng tiền kinh nguyệt lại không được khuyến khích cho u xơ tử cung; đó là bởi vì trà có thể có tác động giống như estrogen đối với cơ thể và làm cho bệnh của bạn trở nên tồi tệ hơn; đó là lý do tại sao việc thảo luận với bác sĩ về tất cả các loại thuốc và chất bổ sung – ngay cả khi chúng là tự nhiên – luôn quan trọng; không ăn thực phẩm chế biến sẵn; không ăn thịt đỏ; không ăn sữa giàu chất béo; không uống rượu; không uống caffeine; đừng bỏ tập luyện thể dục; không hút thuốc; đến ngay bệnh viện nếu bạn bị ra máu âm đạo nhiều hoặc đau bụng đột ngột.; nhiều phụ nữ có thể có thai trở lại sau khi được điều trị,vô sinh; sinh non; thiếu máu; gây mệt mỏi; hiếm khi cần truyền máu do mất máu; nhau bong non; thai chậm phát triển; u xơ dạng thân cây có thể xoắn gây đau; buồn nôn; sốt; u xơ phát triển nhanh hoặc thoái hóa gây đau; hiếm khi hóa ung thư; khối u lớn gây chướng bụng; khối u lớn gây khó khám
Chứng kinh nguyệt ẩn,subdisease,['1'],,,,màng trinh đã cản đường ra của máu kinh,,xuất hiện tình trạng bong và chảy máu nội mạc tử cung định kỳ nhưng máu kinh không thể chảy ra ngoài âm đạo do một số tắc nghẽn đường sinh dục.,,,,,
